product,entity,value_rel_per_direction,order
Eaux-de-vie et liqueurs,direction des fermes de La Rochelle,0.4501860027193538,0
Eaux-de-vie et liqueurs,France (moyenne),0.04288803509299754,0
Café,direction des fermes de La Rochelle,0.19687338665752493,1
Café,France (moyenne),0.17631592338227256,1
Sucre,direction des fermes de La Rochelle,0.1649364173581073,2
Sucre,France (moyenne),0.16892325562815028,2
Toiles de coton,direction des fermes de La Rochelle,0.027651553686485073,3
Toiles de coton,France (moyenne),0.030573751457940054,3
Sel,direction des fermes de La Rochelle,0.02236440304806508,4
Sel,France (moyenne),0.0015576609736625319,4
Vins divers,direction des fermes de La Rochelle,0.02185883484589714,5
Vins divers,France (moyenne),0.06987146995657291,5
Objets d'art et d'histoire naturelle,direction des fermes de La Rochelle,0.02172690641845075,6
Objets d'art et d'histoire naturelle,France (moyenne),0.002984490683912047,6
Indigo,direction des fermes de La Rochelle,0.019669204974920595,7
Indigo,France (moyenne),0.018673679969810543,7
Toiles de chanvre et de lin,direction des fermes de La Rochelle,0.01277615262122752,8
Toiles de chanvre et de lin,France (moyenne),0.052448198892830616,8
Ouvrages métalliques,direction des fermes de La Rochelle,0.009610256184219521,9
Ouvrages métalliques,France (moyenne),0.009263810201765137,9
Toiles diverses,direction des fermes de La Rochelle,0.007053315783419147,10
Toiles diverses,France (moyenne),0.005921702124669719,10
Graines grasses,direction des fermes de La Rochelle,0.004443321212882972,11
Graines grasses,France (moyenne),0.0002087260486893092,11
Plomb,direction des fermes de La Rochelle,0.004065606482129045,12
Plomb,France (moyenne),0.00014115683916260274,12
Denrées coloniales et épiceries diverses,direction des fermes de La Rochelle,0.00326931397074326,13
Denrées coloniales et épiceries diverses,France (moyenne),0.0058411733870969255,13
Divers incertains,direction des fermes de La Rochelle,0.0028542939332588993,14
Divers incertains,France (moyenne),0.013447673647710505,14
"Ouvrages de bois, liège et jonc",direction des fermes de La Rochelle,0.0028510691675719775,15
"Ouvrages de bois, liège et jonc",France (moyenne),0.0039043290328402078,15
"Armes, munitions, poudre et pierres à fusil",direction des fermes de La Rochelle,0.002808322252200368,16
"Armes, munitions, poudre et pierres à fusil",France (moyenne),0.002288911954628365,16
"Brai, goudron et résines",direction des fermes de La Rochelle,0.0024128008070083704,17
"Brai, goudron et résines",France (moyenne),0.00104771705622432,17
Étoffes de laine,direction des fermes de La Rochelle,0.0022933344319247804,18
Étoffes de laine,France (moyenne),0.05226184097461531,18
Étoffes de soie,direction des fermes de La Rochelle,0.002019529199388568,19
Étoffes de soie,France (moyenne),0.04142756260235297,19
"Bière, cidre et vinaigre",direction des fermes de La Rochelle,0.0018010886553037591,20
"Bière, cidre et vinaigre",France (moyenne),0.000980146912079152,20
"Farine, gruau, biscuits et pâtes",direction des fermes de La Rochelle,0.0016851283415745526,21
"Farine, gruau, biscuits et pâtes",France (moyenne),0.007663281629715207,21
Cordage et filets,direction des fermes de La Rochelle,0.0016354819258147682,22
Cordage et filets,France (moyenne),0.002838573163963284,22
Chairs et œufs,direction des fermes de La Rochelle,0.0013046058135305258,23
Chairs et œufs,France (moyenne),0.008868836128139471,23
Ouvrages divers et mélangés,direction des fermes de La Rochelle,0.0012984562574998577,24
